"user.index","sugg.select.utime","sugg.select.slot","sugg.select.update","sugg.decision.utime","sugg.decision.slot","send","jbsteps10","jbsteps30","jbsteps40","jbsteps60","jbsteps90","jbsteps120"
1,2015-08-21 18:30:00,3,2015-08-12,2015-08-21 18:32:58,3,TRUE,NA,NA,NA,NA,NA,NA
1,2015-08-21 21:30:00,4,2015-08-12,2015-08-21 21:32:19,4,TRUE,NA,NA,NA,NA,NA,NA
1,2015-08-21 23:30:00,5,2015-08-12,2015-08-21 23:31:33,5,TRUE,NA,NA,NA,NA,NA,NA
1,2015-08-22 10:30:00,1,2015-08-13,2015-08-22 10:32:30,1,FALSE,NA,NA,NA,NA,NA,NA
1,2015-08-22 16:30:00,2,2015-08-12,2015-08-22 16:31:45,2,TRUE,NA,NA,NA,NA,NA,NA
1,2015-08-22 18:30:00,3,2015-08-12,2015-08-22 18:31:30,3,TRUE,NA,NA,NA,NA,NA,NA
1,2015-08-22 21:30:00,4,2015-08-12,2015-08-22 21:33:09,4,TRUE,NA,NA,NA,NA,NA,NA
1,2015-08-22 23:30:00,5,2015-08-12,2015-08-22 23:31:28,5,FALSE,NA,NA,NA,NA,NA,NA
1,2015-08-23 10:30:00,1,2015-08-13,2015-08-23 10:31:56,1,FALSE,NA,NA,NA,NA,NA,NA
1,2015-08-23 16:30:00,2,2015-08-12,2015-08-23 16:34:16,2,TRUE,NA,NA,NA,NA,NA,NA
1,2015-08-23 18:30:00,3,2015-08-12,2015-08-23 18:31:31,3,TRUE,NA,NA,NA,NA,NA,NA
1,2015-08-23 21:30:00,4,2015-08-12,2015-08-23 21:31:49,4,FALSE,NA,NA,NA,NA,NA,NA
1,2015-08-23 23:30:00,5,2015-08-12,2015-08-23 23:32:11,5,TRUE,NA,NA,NA,NA,NA,NA
1,2015-08-24 16:30:00,2,2015-08-12,2015-08-24 16:31:26,2,FALSE,NA,NA,NA,NA,NA,NA
1,2015-08-24 18:30:00,3,2015-08-12,2015-08-24 18:33:39,3,FALSE,NA,NA,NA,NA,NA,NA
1,2015-08-24 21:30:00,4,2015-08-12,2015-08-24 21:31:48,4,TRUE,NA,NA,NA,NA,NA,NA
1,2015-08-24 23:30:00,5,2015-08-12,2015-08-24 23:31:32,5,FALSE,NA,NA,NA,NA,NA,NA
1,2015-08-25 16:30:00,2,2015-08-12,2015-08-25 16:34:43,2,TRUE,NA,NA,NA,NA,NA,NA
1,2015-08-25 18:30:00,3,2015-08-12,2015-08-25 18:31:34,3,FALSE,NA,NA,NA,NA,NA,NA
1,2015-08-25 21:30:00,4,2015-08-12,2015-08-25 21:31:35,4,TRUE,NA,NA,NA,NA,NA,NA
1,2015-08-25 23:30:00,5,2015-08-12,2015-08-25 23:32:04,5,TRUE,NA,NA,NA,NA,NA,NA
1,2015-08-26 10:30:00,1,2015-08-13,2015-08-26 10:31:54,1,TRUE,NA,NA,NA,NA,NA,NA
1,2015-08-26 16:30:00,2,2015-08-12,2015-08-26 16:33:46,2,FALSE,NA,NA,NA,NA,NA,NA
1,2015-08-26 18:30:00,3,2015-08-12,2015-08-26 18:32:48,3,FALSE,NA,NA,NA,NA,NA,NA
1,2015-08-26 21:30:00,4,2015-08-12,2015-08-26 21:32:47,4,FALSE,NA,NA,NA,NA,NA,NA
1,2015-08-26 23:30:00,5,2015-08-12,2015-08-26 23:31:58,5,TRUE,NA,NA,NA,NA,NA,NA
1,2015-08-27 10:30:00,1,2015-08-13,2015-08-27 10:34:51,1,TRUE,NA,NA,NA,NA,NA,NA
1,2015-08-27 16:30:00,2,2015-08-12,2015-08-27 16:34:28,2,FALSE,NA,NA,NA,NA,NA,NA
1,2015-08-27 18:30:00,3,2015-08-12,2015-08-27 18:34:28,3,FALSE,NA,NA,NA,NA,NA,NA
1,2015-08-27 21:30:00,4,2015-08-12,2015-08-27 21:31:30,4,FALSE,NA,NA,NA,NA,NA,NA
1,2015-08-27 23:30:00,5,2015-08-12,2015-08-27 23:33:01,5,TRUE,NA,NA,NA,NA,NA,NA
1,2015-08-28 16:30:00,2,2015-08-12,2015-08-28 16:31:33,2,TRUE,NA,NA,NA,NA,NA,NA
1,2015-08-28 18:30:00,3,2015-08-12,2015-08-28 18:31:01,3,TRUE,NA,NA,NA,NA,NA,NA
1,2015-08-28 21:30:00,4,2015-08-12,2015-08-28 21:31:03,4,FALSE,NA,NA,NA,NA,NA,NA
1,2015-08-28 23:30:00,5,2015-08-12,2015-08-28 23:31:30,5,FALSE,NA,NA,NA,NA,NA,NA
1,2015-08-29 10:30:00,1,2015-08-13,2015-08-29 10:31:33,1,TRUE,0,0,0,0,0,0
1,2015-08-29 16:30:00,2,2015-08-12,2015-08-29 16:32:17,2,FALSE,276,516,577,631,734,834
1,2015-08-29 18:30:00,3,2015-08-12,2015-08-29 18:31:51,3,FALSE,56,192,192,192,715,761
1,2015-08-29 21:30:00,4,2015-08-12,2015-08-29 21:31:51,4,TRUE,67,244,301,301,424,554
1,2015-08-29 23:30:00,5,2015-08-12,2015-08-29 23:31:30,5,TRUE,64,171,316,382,787,1124
1,2015-08-30 10:30:00,1,2015-08-13,2015-08-30 10:31:43,1,TRUE,NA,NA,NA,NA,NA,NA
1,2015-08-30 16:30:00,2,2015-08-12,2015-08-30 16:32:19,2,FALSE,NA,NA,NA,NA,NA,NA
1,2015-08-30 18:30:00,3,2015-08-12,2015-08-30 18:31:30,3,TRUE,NA,NA,NA,NA,NA,NA
1,2015-08-31 10:30:00,1,2015-08-13,2015-08-31 10:31:59,1,FALSE,108,409,504,757,793,1335
1,2015-08-31 16:30:00,2,2015-08-12,2015-08-31 16:31:55,2,FALSE,0,0,25,499,499,1028
1,2015-08-31 18:30:00,3,2015-08-12,2015-08-31 18:31:51,3,TRUE,0,16,95,369,369,464
1,2015-08-31 21:30:00,4,2015-08-12,2015-08-31 21:31:05,4,FALSE,290,307,438,561,867,867
1,2015-08-31 23:30:00,5,2015-08-12,2015-08-31 23:31:57,5,TRUE,0,57,180,180,180,180
1,2015-09-01 10:30:00,1,2015-08-13,2015-09-01 10:32:06,1,FALSE,0,0,0,103,448,701
1,2015-09-01 16:30:00,2,2015-08-12,2015-09-01 16:32:47,2,TRUE,0,564,652,942,1118,1572
1,2015-09-01 18:30:00,3,2015-08-12,2015-09-01 18:32:02,3,TRUE,60,188,240,281,447,905
1,2015-09-01 21:30:00,4,2015-08-12,2015-09-01 21:32:31,4,FALSE,0,0,0,475,550,649
1,2015-09-01 23:30:00,5,2015-08-12,2015-09-01 23:31:51,5,TRUE,0,0,0,0,0,253
1,2015-09-02 10:30:00,1,2015-08-13,2015-09-02 10:33:04,1,FALSE,0,0,0,0,132,520
1,2015-09-02 16:30:00,2,2015-08-12,2015-09-02 16:32:11,2,FALSE,0,0,0,0,238,321
1,2015-09-02 18:30:00,3,2015-08-12,2015-09-02 18:31:49,3,TRUE,0,43,75,871,1438,1697
1,2015-09-02 21:30:00,4,2015-08-12,2015-09-02 21:32:49,4,TRUE,0,0,94,317,1145,1228
1,2015-09-02 23:30:00,5,2015-08-12,2015-09-02 23:31:56,5,TRUE,0,108,108,199,227,289
1,2015-09-03 10:30:00,1,2015-08-13,2015-09-03 10:31:40,1,TRUE,57,807,1066,1836,2168,2636
1,2015-09-03 16:30:00,2,2015-08-12,2015-09-03 16:32:43,2,TRUE,64,397,426,537,1429,1506
1,2015-09-03 18:30:00,3,2015-08-12,2015-09-03 18:31:13,3,FALSE,52,266,266,633,827,1074
1,2015-09-03 21:30:00,4,2015-08-12,2015-09-03 21:31:49,4,FALSE,97,630,679,827,827,827
1,2015-09-03 23:30:00,5,2015-08-12,2015-09-03 23:31:42,5,TRUE,0,0,0,0,0,220
1,2015-09-04 10:30:00,1,2015-08-13,2015-09-04 10:31:45,1,TRUE,162,838,864,882,1039,1591
1,2015-09-04 16:30:00,2,2015-08-12,2015-09-04 16:31:31,2,FALSE,93,682,712,1080,1446,1446
1,2015-09-04 18:30:00,3,2015-08-12,2015-09-04 18:31:06,3,TRUE,0,168,168,168,168,213
1,2015-09-04 21:30:00,4,2015-08-12,2015-09-04 21:31:33,4,TRUE,87,136,136,396,668,1303
1,2015-09-04 23:30:00,5,2015-08-12,2015-09-04 23:31:12,5,FALSE,443,736,821,848,1028,1374
1,2015-09-05 10:30:00,1,2015-08-13,2015-09-05 10:35:59,1,FALSE,0,0,0,0,0,157
1,2015-09-05 16:30:00,2,2015-08-12,2015-09-05 16:31:07,2,FALSE,0,42,130,295,648,1204
1,2015-09-05 18:30:00,3,2015-08-12,2015-09-05 18:31:32,3,TRUE,533,821,961,1172,1330,1330
1,2015-09-05 23:30:00,5,2015-08-12,2015-09-05 23:31:06,5,TRUE,21,152,152,152,338,429
1,2015-09-06 10:30:00,1,2015-08-13,2015-09-06 10:34:02,1,FALSE,0,0,0,0,0,0
1,2015-09-06 16:30:00,2,2015-08-12,2015-09-06 16:34:44,2,FALSE,0,59,97,174,275,565
1,2015-09-06 18:30:00,3,2015-08-12,2015-09-06 18:31:52,3,TRUE,0,0,0,104,490,1036
1,2015-09-06 21:30:00,4,2015-08-12,2015-09-06 21:31:03,4,TRUE,0,53,85,361,509,692
1,2015-09-06 23:30:00,5,2015-08-12,2015-09-06 23:31:34,5,FALSE,72,1346,2326,4056,4191,4212
1,2015-09-07 16:30:00,2,2015-08-12,2015-09-07 16:33:35,2,TRUE,422,1115,1115,1184,1310,1367
1,2015-09-07 18:30:00,3,2015-08-12,2015-09-07 18:31:11,3,TRUE,75,577,589,589,702,944
1,2015-09-07 21:30:00,4,2015-08-12,2015-09-07 21:31:11,4,FALSE,35,316,382,589,603,700
1,2015-09-07 23:30:00,5,2015-08-12,2015-09-07 23:33:36,5,TRUE,0,0,0,35,115,228
1,2015-09-08 16:30:00,2,2015-08-12,2015-09-08 16:34:34,2,FALSE,732,732,732,1020,2291,3759
1,2015-09-08 18:30:00,3,2015-08-12,2015-09-08 18:31:30,3,FALSE,200,263,263,263,333,470
1,2015-09-08 21:30:00,4,2015-08-12,2015-09-08 21:31:42,4,TRUE,80,159,277,301,660,1035
1,2015-09-08 23:30:00,5,2015-08-12,2015-09-08 23:31:41,5,TRUE,147,205,205,205,436,1767
1,2015-09-09 10:30:00,1,2015-08-13,2015-09-09 10:31:53,1,TRUE,0,298,298,500,857,1139
1,2015-09-09 16:30:00,2,2015-08-12,2015-09-09 16:31:38,2,TRUE,0,0,0,0,144,267
